word,count
Sport is,4
is a,29
a form,2
form of,6
of physical,3
physical activity,4
activity or,1
or game,1
game .,1
. Often,2
Often competitive,1
competitive and,1
and organized,1
"organized ,",2
", sports",1
sports use,1
"use ,",1
", maintain",1
"maintain ,",1
", or",25
or improve,1
improve physical,1
physical ability,1
ability and,1
and skills,1
skills .,3
. They,5
They also,3
also provide,1
provide enjoyment,1
enjoyment to,1
to participants,1
participants and,1
"and ,",1
", in",17
in some,4
some cases,3
"cases ,",1
", entertainment",1
entertainment to,1
to spectators,1
spectators .,1
. Many,3
Many sports,2
sports exist,1
"exist ,",1
", with",24
with different,1
different participant,1
participant numbers,1
"numbers ,",1
", some",2
some are,1
are done,1
done by,2
by a,12
a single,4
single person,1
person with,1
with others,1
others being,1
being done,1
by hundreds,1
hundreds .,1
. Most,4
Most sports,1
sports take,1
take place,2
place either,1
either in,2
in teams,1
teams or,3
or competing,1
competing as,1
as individuals,1
individuals .,2
. Some,15
Some sports,3
sports allow,1
allow a,1
a ``,5
`` tie,1
tie '',1
'' or,5
or ``,3
`` draw,1
draw '',1
"'' ,",9
in which,6
which there,1
there is,7
is no,3
no single,1
single winner,1
winner ;,1
; others,1
others provide,1
provide tie-breaking,1
tie-breaking methods,1
methods to,1
to ensure,5
ensure one,1
one winner,1
winner .,1
. A,22
A number,1
number of,8
of contests,1
contests may,1
may be,7
be arranged,1
arranged in,1
in a,14
a tournament,1
tournament format,1
"format ,",1
", producing",1
producing a,1
a champion,1
champion .,1
sports leagues,2
leagues make,1
make an,1
an annual,1
annual champion,1
champion by,1
by arranging,1
arranging games,1
games in,1
a regular,1
regular sports,1
sports season,1
"season ,",3
", followed",2
followed in,1
cases by,1
by playoffs,1
playoffs .,1
. Sport,7
is generally,2
generally recognised,1
recognised as,1
as system,1
system of,2
of activities,1
activities based,1
based in,1
in physical,1
physical athleticism,1
athleticism or,1
or physical,1
physical dexterity,1
"dexterity ,",1
with major,1
major competitions,1
competitions admitting,1
admitting only,1
only sports,1
sports meeting,1
meeting this,1
this definition,1
definition .,1
Some organisations,1
"organisations ,",1
", such",21
such as,43
as the,25
the Council,3
Council of,4
of Europe,5
"Europe ,",5
", preclude",1
preclude activities,1
activities without,1
without any,1
any physical,1
physical element,1
element from,1
from classification,1
classification as,1
as sports,5
sports .,9
. However,5
"However ,",5
", a",22
a number,4
of competitive,1
"competitive ,",1
