word,count
Sport is a form,1
is a form of,1
a form of physical,1
form of physical activity,1
of physical activity or,1
physical activity or game,1
activity or game .,1
or game . Often,1
game . Often competitive,1
. Often competitive and,1
Often competitive and organized,1
"competitive and organized ,",1
"and organized , sports",1
"organized , sports use",1
", sports use ,",1
"sports use , maintain",1
"use , maintain ,",1
", maintain , or",1
"maintain , or improve",1
", or improve physical",1
or improve physical ability,1
improve physical ability and,1
physical ability and skills,1
ability and skills .,1
and skills . They,1
skills . They also,1
. They also provide,1
They also provide enjoyment,1
also provide enjoyment to,1
provide enjoyment to participants,1
enjoyment to participants and,1
"to participants and ,",1
"participants and , in",1
"and , in some",1
", in some cases",1
"in some cases ,",1
"some cases , entertainment",1
"cases , entertainment to",1
", entertainment to spectators",1
entertainment to spectators .,1
to spectators . Many,1
spectators . Many sports,1
. Many sports exist,1
"Many sports exist ,",1
"sports exist , with",1
"exist , with different",1
", with different participant",1
with different participant numbers,1
"different participant numbers ,",1
"participant numbers , some",1
"numbers , some are",1
", some are done",1
some are done by,1
are done by a,1
done by a single,1
by a single person,1
a single person with,1
single person with others,1
person with others being,1
with others being done,1
others being done by,1
being done by hundreds,1
done by hundreds .,1
by hundreds . Most,1
hundreds . Most sports,1
. Most sports take,1
Most sports take place,1
sports take place either,1
take place either in,1
place either in teams,1
either in teams or,1
in teams or competing,1
teams or competing as,1
or competing as individuals,1
competing as individuals .,1
as individuals . Some,1
individuals . Some sports,1
. Some sports allow,1
Some sports allow a,1
sports allow a ``,1
allow a `` tie,1
a `` tie '',1
`` tie '' or,1
tie '' or ``,1
'' or `` draw,1
or `` draw '',1
"`` draw '' ,",1
"draw '' , in",1
"'' , in which",1
", in which there",1
in which there is,1
which there is no,1
there is no single,1
is no single winner,1
no single winner ;,1
single winner ; others,1
winner ; others provide,1
; others provide tie-breaking,1
others provide tie-breaking methods,1
provide tie-breaking methods to,1
tie-breaking methods to ensure,1
methods to ensure one,1
to ensure one winner,1
ensure one winner .,1
one winner . A,1
winner . A number,1
. A number of,1
A number of contests,1
number of contests may,1
of contests may be,1
contests may be arranged,1
may be arranged in,1
be arranged in a,1
arranged in a tournament,1
in a tournament format,1
"a tournament format ,",1
"tournament format , producing",1
"format , producing a",1
", producing a champion",1
producing a champion .,1
a champion . Many,1
champion . Many sports,1
. Many sports leagues,1
Many sports leagues make,1
sports leagues make an,1
leagues make an annual,1
make an annual champion,1
an annual champion by,1
annual champion by arranging,1
champion by arranging games,1
by arranging games in,1
arranging games in a,1
games in a regular,1
in a regular sports,1
a regular sports season,1
"regular sports season ,",1
"sports season , followed",1
"season , followed in",1
", followed in some",1
followed in some cases,1
in some cases by,1
some cases by playoffs,1
cases by playoffs .,1
by playoffs . Sport,1
playoffs . Sport is,1
. Sport is generally,1
Sport is generally recognised,1
is generally recognised as,1
generally recognised as system,1
recognised as system of,1
as system of activities,1
system of activities based,1
of activities based in,1
activities based in physical,1
based in physical athleticism,1
in physical athleticism or,1
physical athleticism or physical,1
athleticism or physical dexterity,1
"or physical dexterity ,",1
"physical dexterity , with",1
"dexterity , with major",1
", with major competitions",1
with major competitions admitting,1
major competitions admitting only,1
competitions admitting only sports,1
admitting only sports meeting,1
only sports meeting this,1
sports meeting this definition,1
meeting this definition .,1
this definition . Some,1
definition . Some organisations,1
". Some organisations ,",1
"Some organisations , such",1
"organisations , such as",1
", such as the",5
such as the Council,1
as the Council of,1
the Council of Europe,3
"Council of Europe ,",3
"of Europe , preclude",1
"Europe , preclude activities",1
", preclude activities without",1
preclude activities without any,1
activities without any physical,1
without any physical element,1
any physical element from,1
physical element from classification,1
element from classification as,1
from classification as sports,1
classification as sports .,1
as sports . However,1
"sports . However ,",2
". However , a",1
"However , a number",1
", a number of",2
a number of competitive,1
"number of competitive ,",1
"of competitive , but",1
"competitive , but non-physical",1
", but non-physical ,",1
"but non-physical , activities",1
"non-physical , activities claim",1
", activities claim recognition",1
activities claim recognition as,1
claim recognition as mind,1
recognition as mind sports,1
as mind sports .,1
mind sports . The,1
sports . The International,1
. The International Olympic,1
The International Olympic Committee,2
International Olympic Committee who,1
Olympic Committee who oversee,1
Committee who oversee the,1
who oversee the Olympic,1
oversee the Olympic Games,1
the Olympic Games recognises,1
Olympic Games recognises both,1
Games recognises both chess,1
recognises both chess and,1
both chess and bridge,1
chess and bridge as,1
and bridge as sports,1
bridge as sports .,1
as sports . SportAccord,1
"sports . SportAccord ,",1
". SportAccord , the",1
"SportAccord , the international",1
", the international sports",1
the international sports federation,1
international sports federation association,1
"sports federation association ,",1
"federation association , recognises",1
"association , recognises five",1
", recognises five non-physical",1
recognises five non-physical sports,1
five non-physical sports :,1
non-physical sports : chess,1
"sports : chess ,",1
": chess , bridge",1
"chess , bridge ,",1
", bridge , draughts",1
"bridge , draughts ,",1
", draughts , Go",1
"draughts , Go and",1
", Go and xiangqi",1
Go and xiangqi .,1
and xiangqi . However,1
"xiangqi . However ,",1
". However , they",1
"However , they limit",1
", they limit the",1
they limit the number,1
limit the number of,1
the number of mind,1
number of mind games,1
of mind games which,1
mind games which can,1
games which can be,1
which can be admitted,1
can be admitted as,1
be admitted as sports,1
admitted as sports .,1
as sports . Sport,1
sports . Sport is,1
. Sport is usually,1
Sport is usually governed,1
is usually governed by,1
usually governed by a,1
governed by a set,1
by a set of,1
a set of rules,1
set of rules or,1
of rules or customs,1
"rules or customs ,",1
"or customs , which",1
"customs , which serve",1
", which serve to",1
which serve to ensure,1
serve to ensure fair,1
to ensure fair competition,1
ensure fair competition .,1
fair competition . Winning,1
competition . Winning can,1
. Winning can be,1
Winning can be determined,1
can be determined by,1
be determined by physical,1
determined by physical events,1
by physical events such,1
physical events such as,1
events such as scoring,1
such as scoring goals,1
as scoring goals or,1
scoring goals or crossing,1
goals or crossing a,1
or crossing a line,1
crossing a line first,1
a line first .,1
line first . It,1
first . It can,1
. It can also,1
It can also be,1
can also be determined,1
also be determined by,1
be determined by judges,1
determined by judges who,1
by judges who are,1
judges who are scoring,1
who are scoring elements,1
are scoring elements of,1
scoring elements of the,1
elements of the sporting,1
of the sporting performance,1
"the sporting performance ,",1
"sporting performance , including",1
"performance , including objective",1
", including objective or",1
including objective or subjective,1
objective or subjective measures,1
or subjective measures such,1
subjective measures such as,1
measures such as technical,1
such as technical performance,1
as technical performance or,1
technical performance or artistic,1
performance or artistic impression,1
or artistic impression .,1
artistic impression . Records,1
impression . Records of,1
. Records of performance,1
Records of performance are,1
of performance are often,1
performance are often kept,1
"are often kept ,",1
"often kept , and",1
"kept , and for",1
", and for popular",1
and for popular sports,1
"for popular sports ,",1
"popular sports , this",1
"sports , this information",1
", this information may",1
this information may be,1
information may be widely,1
