word,count
Sport is a,1
is a form,1
a form of,2
form of physical,1
of physical activity,2
physical activity or,1
activity or game,1
or game .,1
game . Often,1
. Often competitive,1
Often competitive and,1
competitive and organized,1
"and organized ,",1
"organized , sports",1
", sports use",1
"sports use ,",1
"use , maintain",1
", maintain ,",1
"maintain , or",1
", or improve",1
or improve physical,1
improve physical ability,1
physical ability and,1
ability and skills,1
and skills .,1
skills . They,1
. They also,3
They also provide,1
also provide enjoyment,1
provide enjoyment to,1
enjoyment to participants,1
to participants and,1
"participants and ,",1
"and , in",1
", in some",1
in some cases,3
"some cases ,",1
"cases , entertainment",1
", entertainment to",1
entertainment to spectators,1
to spectators .,1
spectators . Many,1
. Many sports,2
Many sports exist,1
"sports exist ,",1
"exist , with",1
", with different",1
with different participant,1
different participant numbers,1
"participant numbers ,",1
"numbers , some",1
", some are",1
some are done,1
are done by,1
done by a,1
by a single,2
a single person,1
single person with,1
person with others,1
with others being,1
others being done,1
being done by,1
done by hundreds,1
by hundreds .,1
hundreds . Most,1
. Most sports,1
Most sports take,1
sports take place,1
take place either,1
place either in,1
either in teams,1
in teams or,1
teams or competing,1
or competing as,1
competing as individuals,1
as individuals .,1
individuals . Some,1
. Some sports,3
Some sports allow,1
sports allow a,1
allow a ``,1
a `` tie,1
`` tie '',1
tie '' or,1
'' or ``,3
or `` draw,1
`` draw '',1
"draw '' ,",1
"'' , in",1
", in which",2
in which there,1
which there is,1
there is no,2
is no single,1
no single winner,1
single winner ;,1
winner ; others,1
; others provide,1
others provide tie-breaking,1
provide tie-breaking methods,1
tie-breaking methods to,1
methods to ensure,1
to ensure one,1
ensure one winner,1
one winner .,1
winner . A,1
. A number,1
A number of,1
number of contests,1
of contests may,1
contests may be,1
may be arranged,1
be arranged in,1
arranged in a,1
in a tournament,1
a tournament format,1
"tournament format ,",1
"format , producing",1
", producing a",1
producing a champion,1
a champion .,1
champion . Many,1
Many sports leagues,1
sports leagues make,1
leagues make an,1
make an annual,1
an annual champion,1
annual champion by,1
champion by arranging,1
by arranging games,1
arranging games in,1
games in a,1
in a regular,1
a regular sports,1
regular sports season,1
"sports season ,",1
"season , followed",1
", followed in",1
followed in some,1
some cases by,1
cases by playoffs,1
by playoffs .,1
playoffs . Sport,1
. Sport is,3
Sport is generally,1
is generally recognised,1
generally recognised as,1
recognised as system,1
as system of,1
system of activities,1
of activities based,1
activities based in,1
based in physical,1
in physical athleticism,1
physical athleticism or,1
athleticism or physical,1
or physical dexterity,1
"physical dexterity ,",1
"dexterity , with",1
", with major",1
with major competitions,1
major competitions admitting,1
competitions admitting only,1
admitting only sports,1
only sports meeting,1
sports meeting this,1
meeting this definition,1
this definition .,1
definition . Some,1
. Some organisations,1
"Some organisations ,",1
"organisations , such",1
", such as",20
such as the,8
as the Council,1
the Council of,3
Council of Europe,4
"of Europe ,",3
"Europe , preclude",1
", preclude activities",1
preclude activities without,1
activities without any,1
without any physical,1
any physical element,1
physical element from,1
element from classification,1
from classification as,1
classification as sports,1
as sports .,3
sports . However,2
". However ,",5
"However , a",1
", a number",2
a number of,4
number of competitive,1
"of competitive ,",1
"competitive , but",1
", but non-physical",1
"but non-physical ,",1
"non-physical , activities",1
", activities claim",1
activities claim recognition,1
claim recognition as,1
recognition as mind,1
as mind sports,1
mind sports .,2
sports . The,1
. The International,1
The International Olympic,2
International Olympic Committee,3
Olympic Committee who,1
Committee who oversee,1
who oversee the,1
oversee the Olympic,1
the Olympic Games,2
Olympic Games recognises,1
Games recognises both,1
recognises both chess,1
both chess and,1
