word,count
S p o r t,9
i s,179
a,300
f o r m,11
o f,686
p h y s i c a l,15
a c t i v i t y,7
o r,119
g a m e,5
.,712
O f t e n,2
c o m p e t i t i v e,7
a n d,556
o r g a n i z e d,6
",",1059
s p o r t s,77
u s e,18
m a i n t a i n,1
i m p r o v e,4
a b i l i t y,1
s k i l l s,3
T h e y,5
a l s o,46
p r o v i d e,10
e n j o y m e n t,2
t o,360
p a r t i c i p a n t s,12
i n,356
s o m e,24
c a s e s,3
e n t e r t a i n m e n t,2
s p e c t a t o r s,3
M a n y,3
e x i s t,1
w i t h,107
d i f f e r e n t,15
p a r t i c i p a n t,2
n u m b e r s,1
a r e,69
d o n e,2
b y,145
s i n g l e,5
p e r s o n,5
o t h e r s,7
b e i n g,11
h u n d r e d s,2
M o s t,4
t a k e,5
p l a c e,6
e i t h e r,6
t e a m s,5
c o m p e t i n g,3
a s,172
i n d i v i d u a l s,3
S o m e,17
a l l o w,3
` `,73
t i e,1
' ',72
d r a w,1
w h i c h,61
t h e r e,14
n o,8
w i n n e r,2
;,19
t i e - b r e a k i n g,1
m e t h o d s,6
e n s u r e,5
o n e,16
A,24
n u m b e r,8
c o n t e s t s,2
m a y,14
b e,40
a r r a n g e d,1
t o u r n a m e n t,2
f o r m a t,1
p r o d u c i n g,2
c h a m p i o n,2
l e a g u e s,2
m a k e,4
a n,59
a n n u a l,2
a r r a n g i n g,1
g a m e s,9
r e g u l a r,1
s e a s o n,8
f o l l o w e d,4
p l a y o f f s,1
g e n e r a l l y,2
r e c o g n i s e d,4
s y s t e m,9
a c t i v i t i e s,12
b a s e d,10
a t h l e t i c i s m,1
d e x t e r i t y,1
m a j o r,16
c o m p e t i t i o n s,4
a d m i t t i n g,2
o n l y,10
m e e t i n g,1
t h i s,34
d e f i n i t i o n,6
o r g a n i s a t i o n s,3
s u c h,49
t h e,992
C o u n c i l,5
E u r o p e,9
p r e c l u d e,1
w i t h o u t,3
a n y,10
e l e m e n t,5
f r o m,87
c l a s s i f i c a t i o n,4
H o w e v e r,5
b u t,26
n o n - p h y s i c a l,3
c l a i m,3
r e c o g n i t i o n,2
m i n d,6
T h e,130
I n t e r n a t i o n a l,8
O l y m p i c,12
C o m m i t t e e,4
w h o,9
o v e r s e e,1
G a m e s,8
r e c o g n i s e s,5
b o t h,13
c h e s s,4
b r i d g e,3
S p o r t A c c o r d,2
i n t e r n a t i o n a l,18
f e d e r a t i o n,1
a s s o c i a t i o n,5
f i v e,2
:,50
d r a u g h t s,1
G o,2
x i a n g q i,1
t h e y,17
l i m i t,4
c a n,39
a d m i t t e d,2
u s u a l l y,9
g o v e r n e d,2
s e t,4
r u l e s,4
c u s t o m s,1
s e r v e,3
f a i r,6
c o m p e t i t i o n,11
W i n n i n g,2
d e t e r m i n e d,4
e v e n t s,39
s c o r i n g,2
g o a l s,2
c r o s s i n g,2
l i n e,3
f i r s t,17
I t,42
j u d g e s,3
e l e m e n t s,2
s p o r t i n g,5
p e r f o r m a n c e,7
i n c l u d i n g,20
o b j e c t i v e,6
s u b j e c t i v e,5
m e a s u r e s,1
t e c h n i c a l,2
a r t i s t i c,2
i m p r e s s i o n,1
R e c o r d s,1
o f t e n,20
k e p t,1
f o r,84
p o p u l a r,7
i n f o r m a t i o n,8
w i d e l y,3
a n n o u n c e d,3
r e p o r t e d,6
s p o r t,60
n e w s,1
s o u r c e,19
n o n - p a r t i c i p a n t s,2
s p e c t a t o r,5
d r a w i n g,1
l a r g e,13
c r o w d s,1
v e n u e s,2
r e a c h i n g,1
w i d e r,2
a u d i e n c e s,3
t h r o u g h,16
b r o a d c a s t i n g,1
b e t t i n g,1
s e v e r e l y,1
r e g u l a t e d,3
i n t e g r a l,1
A c c o r d i n g,5
A . T .,1
K e a r n e y,1
c o n s u l t a n c y,1
g l o b a l,9
i n d u s t r y,3
w o r t h,1
u p,7
$,3
6 2 0,1
b i l l i o n,2
2 0 1 3,4
w o r l d,16
' s,78
m o s t,26
a c c e s s i b l e,2
p r a c t i s e d,3
r u n n i n g,3
w h i l e,19
f o o t b a l l,11
M e a n i n g,1
u s a g e,2
E t y m o l o g y,3
w o r d,10
c o m e s,4
O l d,6
F r e n c h,10
d e s p o r t,1
m e a n i n g,8
l e i s u r e,3
o l d e s t,2
E n g l i s h,10
a r o u n d,11
1 3 0 0,1
a n y t h i n g,1
h u m a n s,10
f i n d,2
a m u s i n g,1
e n t e r t a i n i n g,1
O t h e r,8
m e a n i n g s,2
i n c l u d e,8
g a m b l i n g,4
s t a g e d,1
p u r p o s e,4
h u n t i n g,3
d i v e r s i o n s,1
o n e s,1
t h a t,96
r e q u i r e,2
e x e r c i s e,5
R o g e t,1
d e f i n e s,1
n o u n,2
e n g a g e d,1
r e l a x a t i o n,1
a m u s e m e n t,1
s y n o n y m s,1
d i v e r s i o n,1
r e c r e a t i o n,2
N o m e n c l a t u r e,1
s i n g u l a r,2
t e r m,7
u s e d,22
d i a l e c t s,1
d e s c r i b e,3
o v e r a l l,1
c o n c e p t,1
(,105
e . g,3
c h i l d r e n,4
t a k i n g,3
p a r t,16
),104
m u l t i p l e,1
r u g b y,6
E n g l a n d,1
A m e r i c a n,3
u s e s,5
t e r m s,4
D e f i n i t i o n,2
S e e,11
G a m e,1
§,1
D e f i n i t i o n s,1
b o a r d,1
S h o w,1
j u m p i n g,1
e q u e s t r i a n,3
p r e c i s e,2
w h a t,20
d i f f e r e n t i a t e s,1
o t h e r,42
v a r i e s,1
b e t w e e n,20
s o u r c e s,23
c l o s e s t,1
a g r e e m e n t,2
o n,89
p r o v i d e d,5
G l o b a l,1
A s s o c i a t i o n,5
S p o r t s,8
F e d e r a t i o n s,1
G A I S F,4
a l l,18
l a r g e s t,5
f e d e r a t i o n s,1
a t h l e t i c s,4
c y c l i n g,2
t e n n i s,2
m o r e,14
t h e r e f o r e,2
d e,12
f a c t o,7
r e p r e s e n t a t i v e,3
f o l l o w i n g,8
c r i t e r i a,1
d e t e r m i n i n g,2
s h o u l d,7
h a v e,40
w a y,4
h a r m f u l,1
l i v i n g,2
c r e a t u r e,1
n o t,30
r e l y,8
e q u i p m e n t,3
s u p p l i e r,1
e x c l u d i n g,1
p r o p r i e t a r y,1
a r e n a,1
l u c k,1
s p e c i f i c a l l y,3
d e s i g n e d,1
i n t o,26
r e c o g n i s e,1
p r i m a r i l y,5
p r e d o m i n a n t l y,1
m o t o r i s e d,2
F o r m u l a,1
1,3
p o w e r b o a t i n g,1
c o - o r d i n a t i o n,1
s n o o k e r,1
c u e,1
a n i m a l - s u p p o r t e d,1
i n c l u s i o n,1
w i t h i n,6
d e f i n i t i o n s,2
h a s,51
b e e n,32
u n i v e r s a l l y,2
a c c e p t e d,4
l e a d i n g,7
l e g a l,4
c h a l l e n g e s,4
g o v e r n i n g,3
b o d i e s,5
r e g a r d s,1
d e n i e d,1
f u n d i n g,1
a v a i l a b l e,5
W h i l s t,1
s m a l l,4
i t,38
o p e n,2
f u r t h e r,5
T h e r e,9
i n c r e a s e,8
a p p l i c a t i o n,2
v i d e o,4
c a l l e d,4
e s p o r t s,1
e l e c t r o n i c,1
e s p e c i a l l y,3
d u e,5
s c a l e,3
p a r t i c i p a t i o n,16
o r g a n i s e d,3
t h e s e,16
m a i n s t r e a m,1
E u r o p e a n,12
C h a r t e r,1
a r t i c l e,19
2 . i,1
' S p o r t,1
',9
m e a n s,9
f o r m s,10
c a s u a l,1
a i m,5
a t,36
e x p r e s s i n g,1
i m p r o v i n g,1
f i t n e s s,3
m e n t a l,1
w e l l - b e i n g,1
f o r m i n g,2
s o c i a l,19
r e l a t i o n s h i p s,2
o b t a i n i n g,1
r e s u l t s,5
l e v e l s,4
C o m p e t i t i o n,1
H o r s e,1
r a c i n g,1
o p p o s i n g,1
v i e w s,2
n e c e s s i t y,1
d e f i n i n g,1
a l m o s t,3
