word,count
the,1
the toasted,1
toasted baguette,1
baguette pieces,1
pieces are,1
are dipped,1
dipped in,1
in the,128
the curry,1
curry and,1
and eaten,1
eaten disastrous,1
disastrous flooding,1
flooding occurred,1
occurred in,1
in 2001,2
2001 and,1
and again,1
again in,1
"in 2002,",1
"2002, with",1
with some,3
some degree,1
degree of,1
of flooding,1
flooding almost,1
almost every,1
every year,1
year for,2
"for him,",1
"him, historia",1
historia was,1
"was ""the",1
"""the knowledge",1
knowledge of,3
of objects,1
objects determined,1
determined by,3
by space,1
space and,1
"and time"",",1
"time"", that",1
that sort,1
sort of,1
of knowledge,3
knowledge provided,1
provided by,4
by memory,1
memory (while,1
(while science,1
science was,1
was provided,2
"by reason,",1
"reason, and",1
and poetry,1
poetry was,1
by fantasy),1
fantasy) political,1
political history,2
history studies,3
studies the,4
the organization,1
organization of,1
of power,2
power in,3
"in society,",1
"society, examining",1
examining how,3
how power,1
power structures,1
"structures arise,",1
"arise, develop,",1
"develop, and",1
and interact,1
interact despite,1
despite adopting,1
adopting an,1
an 'anti-corruption,1
'anti-corruption law',1
law' in,1
"in 2010,",3
"2010, corruption",1
corruption prevails,1
prevails throughout,1
throughout the,3
the country,18
country as,2
as of,3
"of 1987,",1
"1987, only",1
only one,1
one passenger,1
passenger train,1
train per,1
per week,1
week operated,1
operated between,1
between phnom,1
phnom penh,24
penh and,4
and battambang,3
battambang but,1
but a,1
a us$141,1
us$141 million,1
"million project,",1
"project, funded",1
funded mostly,1
mostly by,1
by the,47
the asian,3
asian development,3
"development bank,",1
"bank, has",1
has been,24
been started,1
started to,1
to revitalise,1
revitalise the,1
the languishing,1
languishing rail,1
rail system,1
system that,1
that will,1
"will ""(interlink)",1
"""(interlink) cambodia",1
cambodia with,1
with major,2
major industrial,1
industrial and,1
and logistics,1
logistics centers,1
centers in,1
in bangkok,1
bangkok and,1
and ho,1
ho chi,2
chi minh,2
"minh city""",1
"city"" stories",1
stories common,1
common to,1
to a,12
a particular,6
"particular culture,",1
"culture, but",1
but not,3
not supported,1
supported by,4
by external,1
external sources,1
sources (such,1
(such as,7
as the,30
the tales,1
tales surrounding,1
surrounding king,1
"king arthur),",1
"arthur), are",1
are usually,1
usually classified,1
classified as,3
as cultural,1
cultural heritage,4
heritage or,1
or legends,1
legends native,1
native sports,1
sports include,1
include traditional,1
traditional boat,1
"boat racing,",1
"racing, buffalo",1
"buffalo racing,",1
"racing, pradal",1
"pradal serey,",1
"serey, khmer",1
khmer traditional,2
traditional wrestling,1
wrestling and,1
and bokator,1
bokator traditionalists,1
traditionalists protested,1
protested loudly,1
loudly it,1
it was,9
was a,4
a postmodern,1
postmodern innovation,1
innovation that,1
that threatened,1
threatened to,1
to leave,1
leave the,1
the youth,1
youth ignorant,1
ignorant of,1
of french,1
french patriotism,1
patriotism and,1
and national,2
national identity,1
identity whether,1
whether a,1
a document,1
document is,1
is a,29
a primary,3
primary or,1
or a,3
a secondary,3
secondary source,3
source depends,1
depends not,1
not only,4
only on,1
on the,26
the document,1
document itself,1
itself but,1
but also,5
also on,2
the purpose,4
purpose for,1
for which,1
which it,1
it is,21
is used,2
used historians,1
historians debate,3
debate whether,1
whether history,2
history can,3
can be,14
be taught,1
taught as,2
as a,33
a single,3
single coherent,1
coherent narrative,1
narrative or,1
a series,7
series of,6
of competing,1
competing narratives,1
narratives this,1
this era,1
era gave,1
gave rise,1
rise to,1
to the,59
the term,3
term killing,1
"killing fields,",1
"fields, and",1
and the,61
the prison,1
prison tuol,1
tuol sleng,2
sleng became,1
became known,1
known for,1
for its,4
its history,1
history of,17
of mass,3
mass killing,1
"killing meanwhile,",1
"meanwhile, trade",1
trade along,1
along the,4
the trans-saharan,1
trans-saharan route,1
route intensified,1
intensified thanks,1
thanks to,2
to advancements,1
advancements in,2
"in agriculture,",1
"agriculture, surplus",1
surplus food,1
food allowed,1
allowed these,1
these civilizations,1
civilizations to,1
to support,1
support larger,1
"larger populations,",1
"populations, accompanied",1
accompanied by,2
"by urbanization,",1
"urbanization, the",1
the establishment,3
establishment of,3
of trade,1
"trade networks,",1
"networks, and",1
the emergence,2
emergence of,2
of regional,1
regional empires,1
empires the,1
the nature,2
nature of,4
of the,168
the past,9
"past itself,",1
"itself, by",1
"by contrast,",1
"contrast, is",1
is static,1
static and,1
and unchangeable,1
unchangeable journalists,1
journalists covering,1
covering a,1
a protest,1
protest over,1
over disputed,1
disputed election,1
election results,2
results in,2
in phnom,8
penh on,2
on 22,2
22 september,1
september 2013,1
2013 say,1
say they,1
they were,3
were deliberately,1
deliberately attacked,1
attacked by,2
by police,1
police and,1
and men,1
men in,1
in plain,1
"plain clothes,",1
"clothes, with",1
with slingshots,1
slingshots and,1
and stun,1
stun guns,1
guns with,1
with the,21
"the renaissance,",1
"renaissance, older",1
older senses,1
senses of,1
the word,3
word were,1
"were revived,",1
"revived, and",1
and it,5
was in,1
the greek,2
greek sense,1
sense that,1
that francis,1
francis bacon,1
bacon used,1
used the,2
term in,1
the late,7
late 16th,1
"16th century,",1
"century, when",1
when he,2
he wrote,1
wrote about,1
about natural,1
natural history,1
history other,1
other definitions,1
definitions see,1
see social,1
social history,3
