word,count
the,1
the toasted,1
the toasted baguette,1
the toasted baguette pieces,1
toasted baguette pieces are,1
baguette pieces are dipped,1
pieces are dipped in,1
are dipped in the,1
dipped in the curry,1
in the curry and,1
the curry and eaten,1
curry and eaten disastrous,1
and eaten disastrous flooding,1
eaten disastrous flooding occurred,1
disastrous flooding occurred in,1
flooding occurred in 2001,1
occurred in 2001 and,1
in 2001 and again,1
2001 and again in,1
"and again in 2002,",1
"again in 2002, with",1
"in 2002, with some",1
"2002, with some degree",1
with some degree of,1
some degree of flooding,1
degree of flooding almost,1
of flooding almost every,1
flooding almost every year,1
almost every year for,1
"every year for him,",1
"year for him, historia",1
"for him, historia was",1
"him, historia was ""the",1
"historia was ""the knowledge",1
"was ""the knowledge of",1
"""the knowledge of objects",1
knowledge of objects determined,1
of objects determined by,1
objects determined by space,1
determined by space and,1
"by space and time"",",1
"space and time"", that",1
"and time"", that sort",1
"time"", that sort of",1
that sort of knowledge,1
sort of knowledge provided,1
of knowledge provided by,1
knowledge provided by memory,1
provided by memory (while,1
by memory (while science,1
memory (while science was,1
(while science was provided,1
science was provided by,1
"was provided by reason,",1
"provided by reason, and",1
"by reason, and poetry",1
"reason, and poetry was",1
and poetry was provided,1
poetry was provided by,1
was provided by fantasy),1
provided by fantasy) political,1
by fantasy) political history,1
fantasy) political history studies,1
political history studies the,1
history studies the organization,1
studies the organization of,1
the organization of power,1
organization of power in,1
"of power in society,",1
"power in society, examining",1
"in society, examining how",1
"society, examining how power",1
examining how power structures,1
"how power structures arise,",1
"power structures arise, develop,",1
"structures arise, develop, and",1
"arise, develop, and interact",1
"develop, and interact despite",1
and interact despite adopting,1
interact despite adopting an,1
despite adopting an 'anti-corruption,1
adopting an 'anti-corruption law',1
an 'anti-corruption law' in,1
"'anti-corruption law' in 2010,",1
"law' in 2010, corruption",1
"in 2010, corruption prevails",1
"2010, corruption prevails throughout",1
corruption prevails throughout the,1
prevails throughout the country,1
throughout the country as,1
the country as of,1
"country as of 1987,",1
"as of 1987, only",1
"of 1987, only one",1
"1987, only one passenger",1
only one passenger train,1
one passenger train per,1
passenger train per week,1
train per week operated,1
per week operated between,1
week operated between phnom,1
operated between phnom penh,1
between phnom penh and,1
phnom penh and battambang,1
penh and battambang but,1
and battambang but a,1
battambang but a us$141,1
but a us$141 million,1
"a us$141 million project,",1
"us$141 million project, funded",1
"million project, funded mostly",1
"project, funded mostly by",1
funded mostly by the,1
mostly by the asian,1
by the asian development,1
"the asian development bank,",1
"asian development bank, has",1
"development bank, has been",1
"bank, has been started",1
has been started to,1
been started to revitalise,1
started to revitalise the,1
to revitalise the languishing,1
revitalise the languishing rail,1
the languishing rail system,1
languishing rail system that,1
rail system that will,1
"system that will ""(interlink)",1
"that will ""(interlink) cambodia",1
"will ""(interlink) cambodia with",1
"""(interlink) cambodia with major",1
cambodia with major industrial,1
with major industrial and,1
major industrial and logistics,1
industrial and logistics centers,1
and logistics centers in,1
logistics centers in bangkok,1
centers in bangkok and,1
in bangkok and ho,1
bangkok and ho chi,1
and ho chi minh,1
"ho chi minh city""",1
"chi minh city"" stories",1
"minh city"" stories common",1
"city"" stories common to",1
stories common to a,1
common to a particular,1
"to a particular culture,",1
"a particular culture, but",1
"particular culture, but not",1
"culture, but not supported",1
but not supported by,1
not supported by external,1
supported by external sources,1
by external sources (such,1
external sources (such as,1
sources (such as the,1
(such as the tales,1
as the tales surrounding,1
the tales surrounding king,1
"tales surrounding king arthur),",1
"surrounding king arthur), are",1
"king arthur), are usually",1
"arthur), are usually classified",1
are usually classified as,1
usually classified as cultural,1
classified as cultural heritage,1
as cultural heritage or,1
cultural heritage or legends,1
heritage or legends native,1
or legends native sports,1
legends native sports include,1
native sports include traditional,1
sports include traditional boat,1
"include traditional boat racing,",1
"traditional boat racing, buffalo",1
"boat racing, buffalo racing,",1
"racing, buffalo racing, pradal",1
"buffalo racing, pradal serey,",1
"racing, pradal serey, khmer",1
"pradal serey, khmer traditional",1
"serey, khmer traditional wrestling",1
khmer traditional wrestling and,1
traditional wrestling and bokator,1
wrestling and bokator traditionalists,1
and bokator traditionalists protested,1
bokator traditionalists protested loudly,1
traditionalists protested loudly it,1
protested loudly it was,1
loudly it was a,1
it was a postmodern,1
was a postmodern innovation,1
a postmodern innovation that,1
postmodern innovation that threatened,1
innovation that threatened to,1
that threatened to leave,1
threatened to leave the,1
to leave the youth,1
leave the youth ignorant,1
the youth ignorant of,1
youth ignorant of french,1
ignorant of french patriotism,1
of french patriotism and,1
french patriotism and national,1
patriotism and national identity,1
and national identity whether,1
national identity whether a,1
identity whether a document,1
whether a document is,1
a document is a,1
document is a primary,1
is a primary or,1
a primary or a,1
primary or a secondary,1
or a secondary source,1
a secondary source depends,1
secondary source depends not,1
source depends not only,1
depends not only on,1
not only on the,1
only on the document,1
on the document itself,1
the document itself but,1
document itself but also,1
itself but also on,1
but also on the,1
also on the purpose,1
on the purpose for,1
the purpose for which,1
purpose for which it,1
for which it is,1
which it is used,1
it is used historians,1
is used historians debate,1
used historians debate whether,1
historians debate whether history,1
debate whether history can,1
whether history can be,1
history can be taught,1
can be taught as,1
be taught as a,1
taught as a single,1
