word,count
the,1
the toasted,1
the toasted baguette,1
toasted baguette pieces,1
baguette pieces are,1
pieces are dipped,1
are dipped in,1
dipped in the,1
in the curry,1
the curry and,1
curry and eaten,1
and eaten disastrous,1
eaten disastrous flooding,1
disastrous flooding occurred,1
flooding occurred in,1
occurred in 2001,1
in 2001 and,1
2001 and again,1
and again in,1
"again in 2002,",1
"in 2002, with",1
"2002, with some",1
with some degree,1
some degree of,1
degree of flooding,1
of flooding almost,1
flooding almost every,1
almost every year,1
every year for,1
"year for him,",1
"for him, historia",1
"him, historia was",1
"historia was ""the",1
"was ""the knowledge",1
"""the knowledge of",1
knowledge of objects,1
of objects determined,1
objects determined by,1
determined by space,1
by space and,1
"space and time"",",1
"and time"", that",1
"time"", that sort",1
that sort of,1
sort of knowledge,1
of knowledge provided,1
knowledge provided by,1
provided by memory,1
by memory (while,1
memory (while science,1
(while science was,1
science was provided,1
was provided by,2
"provided by reason,",1
"by reason, and",1
"reason, and poetry",1
and poetry was,1
poetry was provided,1
provided by fantasy),1
by fantasy) political,1
fantasy) political history,1
political history studies,1
history studies the,3
studies the organization,1
the organization of,1
organization of power,1
of power in,1
"power in society,",1
"in society, examining",1
"society, examining how",1
examining how power,1
how power structures,1
"power structures arise,",1
"structures arise, develop,",1
"arise, develop, and",1
"develop, and interact",1
and interact despite,1
interact despite adopting,1
despite adopting an,1
adopting an 'anti-corruption,1
an 'anti-corruption law',1
'anti-corruption law' in,1
"law' in 2010,",1
"in 2010, corruption",1
"2010, corruption prevails",1
corruption prevails throughout,1
prevails throughout the,1
throughout the country,2
the country as,1
country as of,1
"as of 1987,",1
"of 1987, only",1
"1987, only one",1
only one passenger,1
one passenger train,1
passenger train per,1
train per week,1
per week operated,1
week operated between,1
operated between phnom,1
between phnom penh,1
phnom penh and,3
penh and battambang,1
and battambang but,1
battambang but a,1
but a us$141,1
a us$141 million,1
"us$141 million project,",1
"million project, funded",1
"project, funded mostly",1
funded mostly by,1
mostly by the,1
by the asian,1
the asian development,3
"asian development bank,",1
"development bank, has",1
"bank, has been",1
has been started,1
been started to,1
started to revitalise,1
to revitalise the,1
revitalise the languishing,1
the languishing rail,1
languishing rail system,1
rail system that,1
system that will,1
"that will ""(interlink)",1
"will ""(interlink) cambodia",1
"""(interlink) cambodia with",1
cambodia with major,1
with major industrial,1
major industrial and,1
industrial and logistics,1
and logistics centers,1
logistics centers in,1
centers in bangkok,1
in bangkok and,1
bangkok and ho,1
and ho chi,1
ho chi minh,2
"chi minh city""",1
"minh city"" stories",1
"city"" stories common",1
stories common to,1
common to a,1
to a particular,2
"a particular culture,",1
"particular culture, but",1
"culture, but not",1
but not supported,1
not supported by,1
supported by external,1
by external sources,1
external sources (such,1
sources (such as,1
(such as the,1
as the tales,1
the tales surrounding,1
tales surrounding king,1
"surrounding king arthur),",1
"king arthur), are",1
"arthur), are usually",1
are usually classified,1
usually classified as,1
classified as cultural,1
as cultural heritage,1
cultural heritage or,1
heritage or legends,1
or legends native,1
legends native sports,1
native sports include,1
sports include traditional,1
include traditional boat,1
"traditional boat racing,",1
"boat racing, buffalo",1
"racing, buffalo racing,",1
"buffalo racing, pradal",1
"racing, pradal serey,",1
"pradal serey, khmer",1
"serey, khmer traditional",1
khmer traditional wrestling,1
traditional wrestling and,1
wrestling and bokator,1
and bokator traditionalists,1
bokator traditionalists protested,1
traditionalists protested loudly,1
protested loudly it,1
loudly it was,1
it was a,2
was a postmodern,1
a postmodern innovation,1
postmodern innovation that,1
innovation that threatened,1
that threatened to,1
threatened to leave,1
to leave the,1
leave the youth,1
the youth ignorant,1
youth ignorant of,1
ignorant of french,1
of french patriotism,1
french patriotism and,1
patriotism and national,1
and national identity,1
national identity whether,1
identity whether a,1
whether a document,1
a document is,1
document is a,1
is a primary,1
a primary or,1
primary or a,1
or a secondary,1
a secondary source,3
secondary source depends,1
source depends not,1
depends not only,1
not only on,1
only on the,1
on the document,1
the document itself,1
document itself but,1
itself but also,1
but also on,1
also on the,1
on the purpose,1
the purpose for,1
purpose for which,1
for which it,1
which it is,1
it is used,2
is used historians,1
used historians debate,1
historians debate whether,1
debate whether history,1
whether history can,1
history can be,2
can be taught,1
be taught as,1
taught as a,2
as a single,1
a single coherent,1
single coherent narrative,1
coherent narrative or,1
narrative or a,1
or a series,1
a series of,6
series of competing,1
of competing narratives,1
competing narratives this,1
narratives this era,1
this era gave,1
era gave rise,1
gave rise to,1
rise to the,1
to the term,1
the term killing,1
"term killing fields,",1
"killing fields, and",1
"fields, and the",1
and the prison,1
the prison tuol,1
prison tuol sleng,1
tuol sleng became,1
sleng became known,1
became known for,1
known for its,1
for its history,1
its history of,1
history of mass,1
of mass killing,1
"mass killing meanwhile,",1
"killing meanwhile, trade",1
"meanwhile, trade along",1
trade along the,1
along the trans-saharan,1
the trans-saharan route,1
trans-saharan route intensified,1
route intensified thanks,1
intensified thanks to,1
thanks to advancements,1
to advancements in,1
"advancements in agriculture,",1
"in agriculture, surplus",1
"agriculture, surplus food",1
surplus food allowed,1
food allowed these,1
allowed these civilizations,1
these civilizations to,1
civilizations to support,1
to support larger,1
"support larger populations,",1
"larger populations, accompanied",1
